"","ID_2","ID_1","ID_0","duration","lati","long","Q1","Q2","gender","age","taking_freq","posting_freq","editing_app_freq","Heightinmeter","BMI","height","weight","num_taken","num_posted","SNS_1_Wechat","SNS_2_Weibo","SNS_3_Douyin","check_sns","SNS_4_XHS","SNS_5_QQ","ed1_cropping","ed2_brightness","ed3_exposure","ed4_filter","ed5_colortoblack","ed6_retouch","ed7_whiten","ed8_complexion","ed9_slimface","ed10_acne","ed11_bigeyes","ed12_auto","bd1_face","bd2_hair","bd3_upper","bd4_stomach","check_bd","bd5_lower","bd6_muscle","bd7_weight","bd8_height","bd9_overall","obj_1","obj_2","obj_3","obj_4","obj_5","obj_6","obj_7","check_obj","obj_8","obj_9","obj_10","obj_11","obj_12","obj_13","obj_14","obj_15","obj_16","obj_17","cosm_1","cosm_2","cosm_3","cosm_4","cosm_5","facesur_1","facesur_2","facesur_3","facesur_4","facesur_5","facesur_6","facesur_7","facesur_8","bsur_1","bsur_2","bsur_3","bsur_4","bsur_5","check_bsur","bsur_6","bsur_7","bsur_8","invst_1","invst_2","invst_3","invst_4","invst_5","invst_6","invst_7","invst_8","intlz_1","intlz_2","intlz_3","intlz_4","intlz_5","intlz_6","intlz_7","intlz_8","intlz_9","check_intlz","intlz_10","intlz_11","intlz_12","intlz_13","intlz_14","intlz_15","nar1","nar2","nar3","nar4","nar5","nar6","nar7","nar8","nar9","nar10","nar11","nar12","nar13","nar14","nar15","nar16","nar17","nar18","nar19","nar20","Q31"
"25",25,129,260,"530","26.583297729492188","106.71670532226563","3",NA,"1","3","6","7","4",1.58,48.0692196763339,158,"120","16","4","6","3","5","5","3","4","2","3","3","4","3","5","5","5","5","5","3","5","4","3","3","4","5","2","2","2","3","3","7","5","4","4","7","7","5","7","5","6","6","6","7","7","6","7","7","4","3","4","1","3","4","4","4","2","2","2","2","2","2","2","3","4","3","2","1","4","2","4","4","2","2","4","4","4","2","4","4","2","2","3","2","4","2","2","3","4","4","2","3","2","2","4","4","3","4","4","3","2","2","4","4","2","4","2","4","4","2","2","2","2","4","4","1843187"
"101",101,132,394,"495","39.928802490234375","116.38888549804688","3",NA,"1","3","4","6","5",1.65,42.9752066115703,165,"117","9","4","3","3","2","5","2","1","5","5","5","5","3","5","5","5","5","5","5","5","2","2","2","3","5","2","2","1","4","2","6","7","7","7","7","4","7","7","7","7","7","4","6","7","4","7","7","4","3","4","1","3","5","5","5","5","1","5","5","5","1","1","1","1","1","5","1","5","1","1","1","5","5","5","5","5","1","5","5","5","1","5","1","1","5","5","5","4","1","1","5","2","5","5","2","3","3","1","3","2","2","2","1","1","1","1","4","1","4","1","5","1","1","1","1844307"
"150",150,162,310,"685","30.29400634765625","120.16189575195313","3",NA,"1","3","3","3","4",1.65,42.2405876951332,165,"115","11","1","4","6","1","5","4","1","2","4","3","5","1","5","5","3","5","2","3","5","4","3","4","4","5","4","2","2","3","4","7","4","5","2","6","6","4","7","6","7","5","6","5","7","5","7","7","5","4","5","1","4","4","4","5","3","3","3","4","3","3","1","4","4","1","3","1","5","2","5","2","5","5","5","5","5","2","5","5","5","1","5","2","2","4","4","4","4","2","3","5","2","3","3","5","4","4","3","4","5","4","5","5","4","4","5","4","5","3","4","4","4","4","5","1845044"
"92",92,97,244,"695","39.481094360351563","115.96328735351563","3",NA,"1","3","6","7","4",1.54,42.165626581211,154,"100","29","5","5","6","6","5","4","5","3","4","5","4","2","4","4","3","4","5","4","5","4","2","4","5","5","4","4","4","1","4","7","2","6","5","6","4","5","7","6","5","6","4","7","7","6","6","7","5","2","1","4","2","3","4","5","2","1","4","5","2","2","2","4","4","2","5","1","4","4","4","2","4","2","5","4","5","2","5","4","5","2","4","1","2","4","4","5","4","1","4","4","2","4","2","4","4","5","2","3","2","1","4","4","2","4","5","4","4","2","2","2","3","2","4","1825891"
"39",39,26,342,"823","28.651596069335938","111.76620483398438","3",NA,"1","2","4","5","5",1.58,42.0605672167922,158,"105","3","2","6","6","5","5","3","2","5","4","3","5","2","5","5","5","4","4","3","5","3","2","4","1","5","1","3","2","2","3","7","6","6","6","7","6","5","7","6","7","6","6","7","7","6","7","6","5","2","5","2","4","4","5","5","5","1","3","4","4","2","1","2","1","1","5","1","5","1","2","2","4","4","2","5","5","2","5","4","5","1","5","1","1","5","4","5","4","1","1","5","5","5","5","4","3","4","4","3","4","4","4","5","3","4","4","4","4","4","3","5","4","3","3","1601132"
"120",120,183,123,"568","28.288604736328125","117.21328735351563","3",NA,"1","3","5","7","4",1.55,41.6233090530697,155,"100","8","6","3","2","4","5","4","2","4","3","3","4","2","4","4","4","3","4","3","5","5","5","3","4","5","3","3","3","5","5","7","7","7","5","7","5","6","7","5","7","7","7","7","7","5","7","5","5","3","4","3","1","3","5","5","5","2","5","5","5","2","2","5","5","2","3","1","4","2","4","4","4","3","5","4","5","2","5","5","5","2","4","3","2","5","3","5","4","5","3","5","2","4","5","5","5","5","4","3","2","2","5","5","3","5","4","5","5","3","3","5","3","2","3","1884"
"93",93,171,381,"903","23.528900146484375","116.36419677734375","3",NA,"1","3","3","3","2",1.65,40.4040404040404,165,"110","1","1","2","3","3","5","1","1","2","3","3","3","1","3","3","3","2","2","2","3","3","3","2","2","5","1","3","2","2","2","7","5","6","5","6","6","4","7","6","7","6","6","7","5","6","7","6","5","3","3","3","3","4","2","2","2","4","3","2","3","4","2","2","4","2","3","1","4","2","3","4","2","2","3","3","4","2","4","4","4","3","4","4","3","5","2","5","4","3","4","4","3","4","3","4","3","4","4","3","3","2","3","4","3","2","4","4","4","3","4","4","3","3","4","1845155"
"114",114,16,353,"900","39.142303466796875","117.172607421875","3",NA,"1","3","6","7","4",1.65,40.4040404040404,165,"110","35","6","6","4","3","5","2","3","3","4","3","4","3","4","4","3","2","3","2","4","4","2","3","3","5","3","3","4","4","3","7","6","5","4","5","6","5","7","5","5","4","6","5","3","5","5","4","3","2","1","4","2","3","3","2","2","3","3","2","2","3","3","4","4","3","3","1","4","3","4","4","3","2","4","3","4","2","3","4","3","3","4","3","2","4","3","3","4","3","3","3","2","3","4","3","2","3","2","1","1","1","2","3","3","3","2","3","3","2","3","2","2","2","2","1354300"
"122",122,81,373,"652","31.86419677734375","117.2864990234375","3",NA,"1","3","6","7","5",1.65,40.4040404040404,165,"110","16","10","5","5","5","5","4","4","4","4","4","4","3","5","4","4","4","4","4","5","4","5","4","4","5","5","4","4","5","4","7","6","5","5","6","6","5","7","6","7","7","5","6","6","6","6","5","5","3","4","2","4","4","4","4","4","3","4","4","4","2","2","4","3","3","3","1","4","4","4","3","4","3","4","4","5","2","4","4","4","2","4","2","2","4","3","4","4","3","3","4","4","4","4","4","4","4","4","3","2","2","4","4","4","4","4","4","4","4","4","3","4","4","3","1785896"
"36",36,196,197,"488","34.259796142578125","108.92941284179688","3",NA,"1","2","5","7","4",1.67,40.1592025529779,167,"112","12","10","6","5","4","5","2","3","4","4","3","5","2","4","4","4","5","5","5","5","4","4","5","3","5","4","3","4","4","4","7","6","4","5","6","4","6","7","6","5","5","4","6","6","5","5","5","4","3","4","2","4","3","4","5","4","4","4","4","5","4","2","3","4","2","4","1","4","2","4","4","3","2","4","4","4","2","5","4","4","2","4","3","2","4","4","4","4","3","3","4","4","4","3","5","4","4","4","3","4","4","4","5","4","4","4","4","4","4","4","3","3","3","4","534614"
